Abgarowicz
Abrahamowicz
Abramczyk
Abramowicz
Adamczak
Adamczyk
Adamiak
Adamiec
Adamik
Adamowicz
Adamowski
Adamski
Adamski 
Aleksandrowicz
Ambroziak
Anczok
Andrysiak
Andrzejczak
Andrzejewski
Ankwicz
Antczak
Antek
Antkowiak
Antol
Antoniak
Antoniewicz
Antonik
Antos
Araszkiewicz
Archacki
Augustyn
Augustyniak
Babiak
Babiarz
Babicz
Babinski
Babiuch
Babka
Babula
Bach
Bachar
Bachleda
Bacik
Baczewski
Baczkowski
Badowski
Badura
Baginski
Bajek
Bajor
Bajorek
Bak
Bąk
Baka
Bakowski
Bakula
Bal
Bala
Balas
Balcer
Balcerak
Balcerzak
Baldyga
Balicki
Balik
Balinski
Baluch
Banach
Banas
Banasiak
Banasik
Banaszak
Banaszek
Banaszewski
Banaszynski
Bandura
Bania
Banicki
Banik
Banka
Bankowski
Bar
Bara
Baran
Baran 
Baranek
Baranoski
Baranowska
Baranowski
Baranski
Barański
Barczak
Barela
Bargiel
Barlog
Barna
Barnas
Baros
Barszcz
Bartczak
Bartek
Bartkiewicz
Bartko
Bartkowiak
Bartkowicz
Bartkowski
Bartnicki
Bartnik
Bartol
Barton 
Bartos
Bartosiewicz
Bartosik
Bartoszcze
Bartoszek
Bartoszewicz
Barylski
Basa
Basara
Basinski
Basista
Batko
Bazan
Bazar
Bazylevych
Bednarczyk
Bednarek
Bednarski
Bednarz
Bednorz
Beksiński
Belinski
Belka
Bem
Bembenek
Benkowski
Beres
Berezovsky
Berlinski
Bernacki
Bernas
Bernatowicz
Bialas
Białas
Bialecki
Białecki
Bialek
Bialik
Bialk
Bialkowski
Białkowski
Białous
Białowąs
Bialy
Biały
Bieda
Biedron
Biedrzycki
Bieganski
Biegun
Biel
Biela
Bielak
Bielat
Bielawa
Bielawski
Bielczyk
Bielec
Bielecki
Bielen
Bielicki
Bielinski
Bieliński
Bielski
Bien
Bieniek
Bienkowski
Biernacki
Biernat
Bierut
Bies
Biesiada
Biesiadecki
Bieszczad
Biga
Bigos
Bilas
Bilicki
Bilinski
Bilski
Binkowski
Biros
Bisek
Biskup
Biskupski
Bizon
Bizub
Blach
Blaski
Blaszak
Blaszczak
Blaszczyk
Błaszczyk
Blaszkiewicz
Blazejewski
Blazek
Blechacz
Bloniarz
Blonski
Błoński
Bobak
Bobek
Bobinski
Bobola
Bobowski
Bobrowski
Boch
Bochenek
Bocian
Boczar
Boczek
Bodak
Bodnar
Bodo
Boduch
Bogacki
Bogacz
Bogdan
Bogdanowicz
Bogdanski
Bogucki
Bogusz
Bojańczyk
Bojanowski
Bojarski
Bokanowski
Boniecki
Bonikowski
Bonk 
Borkowski
Borowicz
Borowiec
Borowiecki
Borowski
Bortkiewicz
Borysewicz
Borzym
Bratkowski
Brodnicki
Brodowski
Brodzki
Broniewski
Bronikowski
Bronowski
Brózda
Brożyna
Brzechwa
Brzeziński
Brzozowski
Brzyski
Buczkowski
Buczynski
Bugaj
Bugajski
Bujak
Bujwid
Bukowski
Burzyński
Butkiewicz
Byczek
Bykowski
Bystron
Bytnar
Cackowski
Cal
Cala
Capek
Cebertowicz
Cebula
Cebulski
Cegelski
Cegielski
Cena
Cesarz
Chadaj
Chalupa
Chałupa
Chernyak
Chlapowski
Chłapowski
Chlebek
Chlebowski
Chludzinski
Chmara
Chmiel
Chmielewski
Chmielinski
Chmielowiec
Chmielowski
Chmura
Chobot
Chodakowski
Choinski
Chojnacki
Chojnowski
Cholewa
Cholewinski
