Abaco
Abbondanzio
Abbondazio
Abbondio
Abdenago
Abdia
Abdieso
Abdone
Abele
Abenzio
Abercio
Abia
Abibo
Abibone
Abilio
Abramio
Abramo
Abudemio
Acacio
Acario
Acazio
Accorso
Accursio
Acepsima
Achilla
Achille
Acilio
Acillino
Acindino
Aciscolo
Acrisio
Acuzio
Adalardo
Adalberto
Adalciso
Adalfredo
Adalgisio
Adalgiso
Adalindo
Adalio
Adaloaldo
Adalrico
Adamo
Adaulfo
Addai
Addo
Addolorato
Adelaido
Adelardo
Adelasio
Adelberto
Adelchi
Adelfo
Adelindo
Adelino
Adelio
Adelisio
Adeliso
Adelmiro
Adelmo
Adelo
Ademaro
Adeodato
Aderito
Adilio
Adino
Adinolfo
Adiuto
Admeto
Ado
Adolfo
Adone
Adorato
Adorno
Adrasto
Adriano
Adrio
Agabo
Agapito
Agatino
Agato
Agatocle
Agatodoro
Agatone
Agazio
Agenore
Agesilao
Aggeo
Agilulfo
Agnello
Agnesio
Agostino
Agrippino
Aguinaldo
Aiace
Aidano
Aido
Aimone
Alachis
Alagis
Alahis
Alano
Alarico
Albano
Alberto
Albio
Albizzo
Alboino
Alceo
Alceste
Alcibiade
Alcide
Alcino
Alciso
Alderico
Aldighiero
Aldo
Aldobrando
Alduino
Aleardo
Aleramo
Alessandro
Alessio
Alfiero
Alfio
Alfonso
Alfredino
Alfredo
Alghisio
Algisio
Algiso
Alicio
Alideo
Alido
Alighiero
Aligi
Alino
Alipio
Aliprando
Alisio
Aliso
Aliviero
Allegrino
Allegro
Almerigo
Almerino
Almiro
Aloisio
Alperto
Alpinolo
Alteo
Altero
Altobello
Alvaro
Alvezio
Alvise
Alziro
Amadeo
Amalio
Amandino
Amando
Amanzio
Amato
Ambrogio
Amedeo
Amelio
Amerigo
Amilcare
Aminta
Amintore
Amleto
Amos
Ampelio
Anacleto
Anania
Anastasio
Anatolio
Andrea
Andronico
Angelico
Angelo
Aniceto
Aniello
Anito
Annetto
Annibale
Annico
Annino
Annito
Annuccio
Annunciato
Annuncio
Annunziato
Annunzio
Anrico
Ansberto
Anselmo
Anselmuccio
Ansovino
Ansprando
Babila
Baccio
Bachisio
Baciccia
Bacolo
Baiulo
Balbino
Baldassarre
Baldovino
Barnaba
Barsimeo
Bartolomeo
Basilio
Bassiano
Battista
Benedetto
Beniamino
Benigno
Benito
Benvenuto
Beppino
Berardo
Berengario
Bernardino
Bernardo
Berto
Bessarione
Bettino
Biagio
Bianco
Bianore
Boemondo
Bonifacio
Bonifazio
Bonoso
Bonturo
Boris
Bortolo
Branca
Branda
Brendano
Brenno
Brizio
Brunetto
Brunildo
Bruno
Buoso
Cadmo
Caino
Caio
Calimero
Calogero
Camillo
Candido
Canziano
Canzio
Carlo
Carluccio
Carmelo
Carmine
Cassio
Cataldo
Catone
Cecco
Celso
Cesco
Checco
Cherubino
Chiaffredo
Chicco
Chilone
Ciacco
Cianfa
Ciccio
Cilestino
Cino
Ciriaco
Cirillo
Claudio
Cleto
Clodoveo
Cloridano
Contardo
Corebo
Coriolano
Cornelio
Corrado
Cosimo
Cosmo
Costantino
Costanzo
Crescenzo
Crisostomo
Crispino
Cristiano
Cristoforo
Cuniberto
Curzio
Damaso
Damiano
Daniele
Danilo
Dante
Dardano
Dario
Davide
Decio
Delfino
Demetrio
Deodato
Desiderio
Didimo
Diego
Dino
Dionigi
Dionisio
Disma
Dolcino
Eberardo
Edgardo
Edmondo
Edo
Edoardo
Eduardo
Efisio
Efrem
Egidio
Egilio
Egisto
Ego
Eleuterio
Elia
Eligio
Elio
Eliodoro
Eliseo
Elladio
Elpidio
Elvio
Emanuele
Emidio
Emiliano
Emilio
Emmanuele
Enea
Ennio
Enoch
Enrico
Enzo
Epaminonda
Epifanio
Eraldo
Erasmo
Ercolano
Ercole
Eriberto
Ermanno
Ermenegildo
Erminio
Ermogene
Ermolao
Ernani
Ernesto
Errico
Esdra
Espedito
Esuperanzio
Ettore
Euclide
Eugenio
Eurialo
Eusebio
Eustachio
Eustorgio
Eutimio
Evandro
Evangelista
Evaristo
Evasio
Ezechia
Ezechiele
Ezio
Fabiano
Fabio
Fabrizio
Faustiniano
Faustino
Fausto
Febo
Fedele
Federico
Federigo
Fedrico
Felice
Feliciano
Ferdinando
Fermo
Ferrante
Ferruccio
Filiberto
Filippo
Fiore
Fiorello
Fiorenzo
Firmino
Flaminio
Flavio
Floriano
Folco
Fortunato
Fozio
Francesco
Franco
Frederico
Frediano
Fulgenzio
Fulvio
Gabriele
Gaddo
Gaetano
Galdino
Galeazzo
Galeotto
Galileo
Galvano
Gamaliele
Gandolfo
Gaspare
Gastone
Gaudenzio
Gaudioso
Gavino
Gedeone
Gelindo
Geminiano
Generoso
Gennadio
Gennaro
Genserico
Geppetto
Geppino
Gerardo
Geremia
Gerlando
Gerolamo
Gerone
Geronzio
Gervasio
Gervaso
Gesualdo
Gherardo
Giacinto
Giacobbe
Giacomo
Giairo
Giambattista
Giampiero
Gian Marco
Giancarlo
Gianfranco
Gianluca
Gianluigi
Gianmarco
Gianmaria
Gianni
Gianpaolo
Giasone
Giggi
Gigi
Gilberto
Gillo
Gino
Gioacchino
Gioachino
Giobbe
Gioele
Giona
Gionata
Giorgio
Gioseffo
Giosia
Giosuè
Giotto
Giovanni
Girolamo
Giuda
Giuliano
Giulio
Giunio
Giuseppe
Giustino
Giusto
Glauco
Goffredo
Gordiano
Graziano
Gregorio
Gualtiero
Guelfo
Guglielmo
Guido
Guiscardo
Guittone
Gustavo
Igor
Ilario
Ildebrando
Ildefonso
Innocenzo
Iorio
Ippolito
Irnerio
Isacco
Isaia
Isidoro
Ismaele
Ivo
Jacopo
Jacopone
Labano
Ladislao
Laerte
Lamberto
Lando
Landolfo
Lapo
Lattanzio
Lazzaro
Leandro
Learco
Lelio
Lemuele
Leonardo
Leonida
Leonzio
Leopoldo
Leucio
Levi
Liberale
Licisco
Lino
Lionello
Livio
Loderingo
Lodovico
Loreno
Lorenzo
Lotario
Luca
Luchino
Luciano
Lucio
Ludovico
Luigi
Macario
Maclovio
Mainardo
Malachia
Malco
Mamiliano
Manasse
Manfredo
Manlio
Manno
Manolo
Mansueto
Marcantonio
Marcello
Marco
Mardonio
Mariano
Marino
Mario
Marsilio
Marziale
Marzio
Massimiliano
Massimo
Mattatia
Matteo
Mattia
Mauro
Mazzeo
Medardo
Medoro
Melchiorre
Menalippo
Menenio
Mercuriale
Meroveo
Metello
Metodio
Michea
Michelangelo
Michele
Milone
Milvio
Milziade
Mimi
Mimmo
Miniato
Misaele
Modesto
Monaldo
Murilo
Muziano
Muzio
Nabide
Nando
Nanni
Napoleone
Narciso
Natale
Nearco
Neemia
Nereo
Neri
Nestore
Nevio
Niccola
Niccolò
Niceforo
Nico
Nicodemo
Nicola
Nicolao
Nicolò
