Aafjes
Aalbers
Aalders
Aandewiel
Aantjes
Aardewijn
Aardsma
Aarsman
Aarts
Aartsen
Adema
Adriaanse
Aerts
Agema
Aikema
Akkerman
Albers
Alberts
Alblas
Alders
Alkema
Alma
Alserda
Altena
Amerongen
Anderiesen
Andriessen
Anema
Anjema
Annema
Antema
Antuma
Appel
Appelman
Appelmans
Arends
Arents
Arkema
Atsma
Aukema
Baanders
Baarda
Baars
Baarsma
Baas
Backer
Baert
Bakema
Bakker
Bal
Barendregt
Barends
Bartels
Bartholomeusz
Barwegen
Baten
Bauwens
Beckers
Beeckman
Beek
Beekhof
Beekman
Beenhouwer
Beethoven
Bekker
Bentinck
Bergkamp
Berkenbosch
Beukers
Beumer
Biemans
Bijl
Bijlsma
Bisschop
Blaauw
Blanke
Bleecker
Bleeker
Bloem
Bloemen
Blok
Blokland
Blom
Boekbinder
Boeken
Boekhorst
Boer
Bogaert
Bok
Bol
Bongers
Boogaard
Boogman
Booij
Boom
Boomsma
Boon
Boot
Bootsma
Borremans
Borsboom
Borst
Bos
Bosch
Boschman
Bosman
Bosmans
Boswel
Bot
Bouman
Bouwens
Bouwman
Bouwmeester
Bovens
Braam
Braat
Brands
Brandts Buys
Brasser
Breukelen
Breytenbach
Brink
Brinkman
Broeker
Broekhuizen
Broekman
Broers
Brokmann
Brood
Brouwer
Brugman
Brugmans
Bruijn
Bruin
Bruins
Buijs
Burger
Burgers
Buter
Buwalda
Buys
Camphuysen
Castelijn
Ceulemans
Christiaens
Citroen
Claassen
Claes
Claessen
Claessens
Claeys
Coenen
Coolen
Cools
Coomans
Coppens
Cornelis
Cornelisse
Cornelissen
Cornelissen 
Coster
Cremers
Croes
Cuypers
Daems
Danneels
De Backer
De Bakker
De Beer
De Bie
De Bisschop
de Boer
De Bont
De Brouwer
De Bruijn
de Bruin
De Bruycker
De Bruyn
De Bruyne
De Clerck
De Clercq
De Cock
De Coninck
De Coster
de Cuyper
De Decker
De Geus
De Goede
de Graaf
De Greef
de Groot
De Groote
de Haan
de Haas
De Heer
De Hondt
De Hooch
De Hoog
de Jaager
De Jager
de Jong
De Jonge
De Jongh
De Keyser
De Klerck
De Klerk
De Kock
De Kok
De Koninck
de Koning
De Korte
de Kuiper
De Laet
De Lange
de Lange 
de Vliet
de Vries
de Windt
de Wit
Dekker
Dijkgraaf  
Dijkman
Dijkmans  
Dijksma  
Dijkstra
Dijkstra  
Dykstra
Elzinga
Groot  
Hendriks
Hendriksen
Hendrix
Herrema
Hoebee
Hoebeek
Hoekstra
Jansen
Janssen
Kneynsberg
Lange
Laninga
Maarschalkerweerd
Meijer
Mesman
Meulenbelt
Meyer
Molenaar
Muis
Mulder
Peters
Prins
Reijnders
Reinders
Reindert
Reynders
Rijnders
Rolloos
Ruis
Ruisch
Ruys
Ruysch
Rynsburger
Smit
Smits
Spaans
Stegenga
Teuling
Thysen
Thyssen
Timmerman
Tuinstra
van Buskirk
van Coevorden 
van de Hoek
van Deijck
van den Heuvel
van der Berg
van der Bijl
van der Boor
van der Byl
van der Heide
van der Kleij
van der Linden
van der Meer
van der Molen
van der Westhuizen
van Dijk
van het Hoff
Van Hoebeek
van Leeuwen
van Sittart
van Vliet
Van Wieren
van Zijl 
Vinke
Visser
Vos
Vroom
Wees
Willems
Willemsen 
