Aafjes
Aalbers
Aalders
Aandewiel
Aantjes
Aardewijn
Aardsma
Aarsman
Aarts
Aartsen
Adriaanse
Aerts
Akkerman
Albers
Alberts
Alblas
Alders
Altena
Amerongen
Anderiesen
Andriessen
Appel
Appelman
Appelmans
Arends
Arents
Baanders
Baars
Baas
Backer
Baert
Bakker
Bal
Barendregt
Barends
Bartels
Bartholomeusz
Baten
Bauwens
Beckers
Beeckman
Beek
Beekhof
Beekman
Beenhouwer
Beethoven
Bekker
Bentinck
Berger
Bergkamp
Berkenbosch
Bertrand
Beukers
Beumer
Biemans
Bijl
Bijlsma
Bisschop
Blaauw
Blanke
Bleecker
Bleeker
Bloem
Bloemen
Blok
Blokland
Blom
Boekbinder
Boeken
Boekhorst
Boer
Bogaert
Bok
Bol
Bongers
Boogaard
Boogman
Booij
Boom
Boomsma
Boon
Boot
Borremans
Borsboom
Borst
Bos
Bosch
Boschman
Bosman
Bosmans
Bossuyt
Boswel
Bot
Bouman
Bouwens
Bouwman
Bouwmeester
Bovens
Braam
Braat
Brands
Brandts Buys
Brasser
Breukelen
Breyne
Breytenbach
Brink
Brinkman
Broeker
Broekhuizen
Broekman
Broers
Brokmann
Brood
Brouwer
Brugman
Brugmans
Bruijn
Bruin
Bruins
Buijs
Burger
Burgers
Buter
Buwalda
Buys
Camphuysen
Castelijn
Ceulemans
Ceulemans 
Charlier
Christiaens
Citroen
Claassen
Claes
Claessen
Claessens
Claeys
Clijsters 
Coenen
Coolen
Cools
Coomans
Coppens
Cornelis
Cornelisse
Cornelissen
Cornelissen 
Coster
Courtois
Cremers
Croes
Cronje
Cuypers
Daems
Danneels
De Backer
De Bakker
De Beer
De Bie
De Bisschop
de Boer
De Bont
De Brouwer
De Bruijn
de Bruin
De Bruycker
De Bruyn
De Bruyne
De Caluwé
De Clerck
De Clercq
De Cock
De Coninck
De Coster
de Cuyper
De Decker
De Geus
De Goede
de Graaf
De Greef
de Groot
De Groote
de Haan
de Haas
De Heer
De Hondt
De Hooch
De Hoog
de Jaager
De Jager
de Jong
De Jonge
De Jongh
De Keyser
De Klerck
De Klerk
De Kock
De Kok
De Koninck
De Koning
De Korte
De Kuiper
De Laet
De Lange
De Lange 
De Smedt
De Smet (surname)
De Vliet
De Vos
De Vreese
De Vries
De Vriese
De Windt
De Wit
De Witte
Declercq
Deflandre
Dehasse
Dehasse 
Dekker
Delcroix
Delhaize
Demol
Denis
Desmet
Devos
Dhondt
Dierckx
Dierickx
Dievoet
Dievoort
Dijkgraaf  
Dijkman
Dijkmans  
Dijksma  
Dijkstra  
Donnay
Dubois
Dumont
Dupont
Elzinga
François
Gérard
Goethals
Goffin
Goossens
Goris
Groot  
Hardenne
Hendrickx
Hendriks
Hendriksen
Hendrikx
Hendrix
Hetzel 
Heylen
Heymans
Hoebee
Hoebeek
Huyghebaert
Jansen
Janssen
Kneynsberg
Laisné
Lambert
Lambert 
Lange
Laurent
Lauwers 
Leclercq
Lejeune
Lemaire
Lenaerts
Leroy
Lievens 
Louwagie
Lybaert
Maarschalkerweerd
Maes 
Martin
Mathieu
Meijer
Mertens
Mesman
Meulenbelt
Meyer
Michiels
Molenaar
Monami
Muis
Mulder
Naessens
Neefs
Peeters
Peters
Petit
Poels
Prins
Provoost
Raes
Renard
Rolloos
Ruis
Ruisch
Ruys
Ruysch
Rynsburger
Simon
Smet
Smets
Smit
Smits
Spaans
Stegenga
Stevens
Teuling
Thomas
Thys
Thysen
Thyssen
Timmerman
Tuinstra
Van Acker
Van Baer
van Buskirk
van Coevorden 
Van Daele
Van Damme 
Van de Hoek
Van de Vijver
Van de Walle
Van de Wiele
Van Deijck
Van den Abeele
Van Den Berghe
Van den Bossche
Van den Broeck
Van den Heuvel
Van  der Berg
Van  der Bijl
Van  der Boor
Van  der Byl
Van der Elst
Van  der Heide
Van  der Kleij
Van  der Linden
Van  der Meer
Van  der Molen
Van  der Westhuizen
Van  Dijk
Van Dyck 
Van Hecke
Van  het Hoff
Van Hoebeek
Van Hove
Van  Leeuwen
Van  Sittart
Van Tomme
Van Vliet
Van Volxem
Van Zijl 
Vandamme
Vandenbroucke
Verbeke
Verhaegen
Verhaeghe
Vermeersch
Vermeiren
Vermeulen
Verschueren
Verstraete
Vinke
Visser
Vizard 
Vos
Vroom
Wees
Willems
Willemsen 
Dehousse
Damseaux
Wathelet
Coëme
Anselme
Spitaels
Collignon
Di Rupo
Van Cauwenberghe
